Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Age dependency ratio (% of working-age population),77.7069677889498,78.0687977339578,78.6852973926361,79.6428670038074,81.0257819209402,82.5342747726101,83.9055142087154,85.1359438007866,86.1974696183078,87.0696084228225,87.7599428869068,88.3123938670614,90.0358993217998,90.3524722641165,90.6055379024562,91.3237120318044,91.9353108787057,92.1153641235323,92.0050933998263,91.5013917796717,90.7652198383735,89.8748985312392,88.9480257631773
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,,,,78.7725350870327,76.0908289241623,74.5285767943305,78.910190522119,,,,,79.0846919843326,
"Energy imports, net (% of energy use)",,,,,,,,,,,,15.7445474820988,19.3032789582728,20.3315100903851,17.7726860431385,19.4922649974126,20.8729951631991,22.8984633773058,23.3352809848051,25.4906678650192,27.0232844508678,26.6787144717906,27.6967489596416
GDP growth (annual %),,5.98734641929141,4.48285862750326,8.68883151825786,7.56975744902432,10.4193658220408,5.78995180142022,5.4006125972184,7.23322092498739,5.5078996342957,11.3534617181927,0.468372548493363,4.95976889440439,4.45858681510218,5.06156775897861,7.70589781716029,1.7577476978468,3.73741555767747,4.96260914623281,4.84658128681654,1.01439601077892,2.55023429817393,3.66013273943236
GDP per capita growth (annual %),,3.24971491199571,1.80364067918669,5.84972077942716,4.70640502795456,7.43938016331487,2.89355083090767,2.46831762839412,4.22116837059603,2.52926780271959,8.19649203318036,-2.26260815242058,1.58506250480809,1.02421181151411,1.64455814439934,4.66648101392903,-1.02474092628785,0.779593544127223,1.97228554754696,1.83880828653224,-1.80254112696187,-0.242732275330027,0.876623662652293
"Inflation, GDP deflator (annual %)",,3.6464612869908,0.15994817784113,-1.14926605359558,4.48844647762694,3.16588265326953,4.60065831014529,7.93964176578655,0.469288568160579,2.33557140665688,3.70835302221934,5.87049050522882,8.58504801719344,6.45199916790979,13.4924162537224,10.2014077626019,8.83855312769657,13.0284160490462,13.0064844675074,8.37360999459469,13.3835146386713,7.52603689563375,5.8622861838065
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,43.0,
Military expenditure (% of GDP),4.31266261925412,4.09789064099939,3.65587277256179,3.64841297523544,3.86589013064694,5.90466788887322,6.73052198508614,5.40460370194589,5.1039059949951,5.51204188481675,6.15838762214984,6.73553323768532,6.53272525576236,6.52232023523122,6.57095278815428,6.69818754925138,6.42731262310377,5.92354829296761,5.82022528285793,6.03716630506556,5.6212164889017,5.4150950442544,5.18989926490607
"Official exchange rate (LCU per US$, period average)",4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.76190000336508,20.5414916666667,21.707375,23.8007666666667,25.0827916666667,28.1071833333333,30.5665916666667,31.6426833333333,36.0786833333333,41.111525,45.0466666666667,49.5006915833333
"Population, female (% of total population)",46.0765727173867,46.1195345105477,46.1609538042594,46.2049647329935,46.2549566929134,46.3089962117458,46.3647523139872,46.4243279986253,46.4864395594991,46.5496799495472,46.6135298716633,46.7000205342461,48.0294588508616,48.0524921162631,48.0736896725137,48.1481421525218,48.213138933049,48.2463765969985,48.2790409222827,48.3004507629245,48.3218138458417,48.3452839101222,48.3662538940393
Real interest rate (%),,,,,,,,,,,,,,,,,,,,,,,
Trade (% of GDP),20.3931892012994,20.2314791209912,21.0913520097442,23.9887538545257,23.1259582022109,24.0410837612892,19.1940852643708,20.4945704157992,19.1325464800501,17.480471111756,17.9661158928609,18.202043669154,34.4216591208777,35.034575900498,35.4196551048403,37.6945397210631,38.4993168752315,35.0577237131595,36.132753673519,38.3301268339895,36.8522661008964,34.011725180531,32.3199628094266
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,,,2.74,2.81,4.19,3.79,3.36,3.41,3.71,3.61,3.91,4.09,3.85
Urban population (% of total population),22.104,22.501,22.751,23.002,23.256,23.511,23.769,24.028,24.289,24.552,24.817,25.084,30.327,30.576,30.826,31.077,31.329,31.582,31.836,32.092,32.348,32.585,32.783
