Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1982,54.2728147962453,,,,,,,52.2444125212131,,,66.467,10
1983,54.054508049934,,,,,,,52.2196344772851,,,66.675,9
1984,54.0877702111514,,,,,,,52.2105895804899,,,66.883,8
1985,54.2115957465929,,,,,,,52.2296738591696,,,67.09,7
1986,54.3557514827273,,,,,,,52.2551571423022,,,67.296,6
1987,54.5646327968531,,,,,,,52.2781596625527,,,67.501,5
1988,54.8419655474463,,,,,,,52.302432845274,,,67.706,4
1989,54.6633485910906,,,,,,,52.2555836310302,,,67.69,3
1990,54.7782354435487,98.0705002296298,,,,,,52.1780048967844,,81.3357185450209,67.421,2
1991,55.6070325851032,98.1804916179142,-11.699998482027,-13.2111499901537,79.386104296155,,,52.1393611911092,,100.865855188857,67.15,1
1992,58.0371569902749,93.3084975367967,-41.8000027457562,-41.1137635319795,568.807295439343,2.20338983050847,,52.1651598424463,,101.076759405526,66.878,0
